ELE# 1 : 0.250000 m
+1.011018e-19 -4.456805e-20 -1.559638e-15 +1.000000e+00 -4.336809e-19 +0.000000e+00
-4.271918e-14 +1.289753e-14 +9.796472e-11 +2.920819e-11 +9.999998e-01 +3.484225e-02
-3.308722e-23 -3.308722e-24 +6.098637e-20 +2.710505e-20 -2.775558e-17 +1.000000e+00
ELE# 40 : 1.370000 m
+1.000000e+00 +2.760660e-17 -8.012018e-20 +7.515545e-21 +3.970467e-23 +3.970467e-23
+2.093063e-17 +1.000000e+00 +4.103648e-20 -3.359151e-20 +0.000000e+00 +0.000000e+00
-1.870681e-19 -3.932169e-21 +1.000000e+00 +7.888157e-17 -9.486769e-20 -5.421011e-20
+1.424284e-19 +7.781945e-20 -9.690521e-16 +1.000000e+00 +2.168404e-19 +3.252607e-19
+2.646978e-23 -1.323489e-23 -5.421011e-20 -2.710505e-20 +1.000000e+00 +0.000000e+00
-6.617445e-24 +1.654361e-24 +1.626303e-19 +4.404571e-20 +0.000000e+00 +1.000000e+00
ELE# 41 : 1.470000 m
+8.598704e-01 +9.528386e-02 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
-2.735226e+00 +8.598704e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +1.146997e+00 +1.048535e-01 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +3.009932e+00 +1.146997e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +9.954955e-02
